order_id,order_date,amount,product_id
10001,2024-01-01,1999.98,iPhone 14 Pro
10002,2024-01-02,499.99,Dyson V11 Vacuum
10003,2024-01-03,209.97,Levi's 501 Jeans
10004,2024-01-04,63.96,The Da Vinci Code
10005,2024-01-05,89.99,Neutrogena Skincare Set
10006,2024-01-06,149.95,Wilson Evolution Basketball
10007,2024-01-07,2499.99,MacBook Pro 16-inch
10008,2024-01-08,1199.98,Blueair Classic 480i
10009,2024-01-09,539.94,Nike Air Force 1
10010,2024-01-10,51.98,Dune by Frank Herbert
10011,2024-01-11,129.99,Chanel No. 5 Perfume
10012,2024-01-12,599.97,Babolat Pure Drive Tennis Racket
10013,2024-01-13,1499.98,Samsung Galaxy Tab S8
10014,2024-01-14,189.99,Keurig K-Elite Coffee Maker
10015,2024-01-15,499.98,North Face Down Jacket
10016,2024-01-16,107.97,"Salt, Fat, Acid, Heat by Samin Nosrat"
10017,2024-01-17,399.99,Dyson Supersonic Hair Dryer
10018,2024-01-18,479.96,Manduka PRO Yoga Mat
10019,2024-01-19,999.98,Garmin Forerunner 945
10020,2024-01-20,99.99,Ninja Professional Blender
10021,2024-01-21,179.97,Zara Summer Dress
10022,2024-01-22,45.98,Gone Girl by Gillian Flynn
10023,2024-01-23,49.99,Olay Regenerist Face Cream
10024,2024-01-24,89.97,Adidas FIFA World Cup Football
10025,2024-01-25,299.99,Bose QuietComfort 35 Headphones
10026,2024-01-26,179.99,Panasonic NN-SN966S Microwave
10027,2024-01-27,359.98,Adidas Ultraboost Shoes
10028,2024-01-28,38.97,Pride and Prejudice by Jane Austen
10029,2024-01-29,29.99,MAC Ruby Woo Lipstick
10030,2024-01-30,259.98,Nike Air Zoom Pegasus 37
10031,2024-01-31,699.98,Sony WH-1000XM4 Headphones
10032,2024-02-01,269.97,Instant Pot Duo
10033,2024-02-02,149.95,Under Armour HeatGear T-Shirt
10034,2024-02-03,79.96,1984 by George Orwell
10035,2024-02-04,79.98,L'Oreal Revitalift Serum
10036,2024-02-05,1895.0,Peloton Bike
10037,2024-02-06,1199.97,Apple Watch Series 8
10038,2024-02-07,1599.98,Roomba i7+
10039,2024-02-08,239.96,Columbia Fleece Jacket
10040,2024-02-09,74.97,Harry Potter and the Sorcerer's Stone
10041,2024-02-10,105.0,Estee Lauder Advanced Night Repair
